ID;ESTADO;INGRESOS;CASA;PRECIO_DISPOSITIVO;GENERO;MESES;DURACION;SOBRECARGO;SALDO_RESTANTE;SATISFACCION
1;VINCULADO;4074840;687821521.7;1444153;Mujer;26;2.3;11.16754203;20.3;1.762871911
2;VINCULADO;8574088;1349119957;2157661;Hombre;23;3.7;0;53.5;3.361266432
3;RETIRADO;795993;132655825.1;452809;Mujer;38;16.8;350.6102238;13.9;8.359437624
4;RETIRADO;8115015;1290405313;2617184;Mujer;37;17.6;230.9138878;45.7;8.964016897
5;RETIRADO;8187499;1305347961;666069;Mujer;19;0;131.5419831;67.2;8.808206423
6;VINCULADO;7250225;1183511850;548116;Hombre;19;2.2;0;72;1.979549273
7;RETIRADO;7256758;1193230810;3493707;Mujer;20;14.8;217.3225543;69.5;8.285136944
8;RETIRADO;3262245;508821173.1;985708;Mujer;32;1.3;275.5951313;19;8.040629438
9;VINCULADO;7281977;1185929927;2453442;Mujer;41;3;0;64.6;2.654332317
10;RETIRADO;874177;167560271.1;1403586;Mujer;19;17.8;0;19.9;2.138861415
11;RETIRADO;4061667;612074247.1;438256;Hombre;9;1.8;0;4.9;2.164890042
12;RETIRADO;3529836;597007260.3;647659;Mujer;18;4.3;303.1620946;29.6;7.984475314
13;RETIRADO;3829846;626897106.6;1150132;Mujer;40;5.4;150.8684079;33.2;7.855743589
14;RETIRADO;7639749;1206998966;825889;Hombre;27;0.7;178.2471858;89.5;7.826983849
15;VINCULADO;1063556;175837943.8;1991877;Mujer;12;15.7;0;0;2.654776582
16;RETIRADO;661848;128072413.5;1241824;Mujer;0;14.7;311.5902034;23.7;8.221092246
17;RETIRADO;1494939;267884608.9;665683;Mujer;26;16;132.838471;18;8.646059967
18;RETIRADO;6461843;995740583.3;323295;Hombre;17;16.3;202.1665867;78.8;8.215940824
19;RETIRADO;901956;181386326.7;1280582;Mujer;32;16;223.7509717;20.3;7.61730498
20;VINCULADO;7237045;1190256452;2288612;Mujer;24;15.8;28.77359007;76.9;2.96468979
21;VINCULADO;8346763;1356316018;705708;Hombre;30;16.3;0;61.7;2.841407392
22;RETIRADO;7597008;1257506177;2392791;Hombre;49;15.8;130.6549471;47.6;7.920290063
23;RETIRADO;3294147;534386288.7;795158;Mujer;45;2.7;263.7967775;16.2;7.520494468
24;RETIRADO;660089;100943860.9;1827659;Hombre;7;17.1;120.0497171;4.2;8.019859421
25;VINCULADO;2362928;383273944.5;779090;Mujer;54;2.8;0;25.8;3.440031626
26;RETIRADO;7757860;1296119526;2001734;Mujer;47;15.9;212.295364;55.7;8.308562425
27;VINCULADO;6001474;1000601658;1150558;Mujer;50;2.1;0;77.3;2.93594853
28;RETIRADO;3503361;599088414.8;1048801;Mujer;25;1.1;88.97214712;25.5;8.458615246
29;VINCULADO;6537675;1082661746;2492057;Hombre;38;16.5;11.45777374;54.3;2.867597722
30;RETIRADO;1409067;249280037;644429;Hombre;55;16.6;188.5926683;5.8;9.027947721
31;VINCULADO;7523345;1244968481;2291403;Mujer;42;16;0;54.9;3.083539178
32;VINCULADO;7320612;1142508858;284060;Hombre;38;18.2;31.60628342;92.6;2.779809579
33;RETIRADO;7836527;1317255621;3098366;Mujer;37;1.1;248.9588357;71.3;8.180256279
34;VINCULADO;1574004;313645440.4;2404374;Mujer;23;17.5;9.93549376;23.4;2.633383263
35;VINCULADO;3954326;671973893.1;1375598;Mujer;51;2.3;63.42288378;25.9;3.661557063
36;VINCULADO;7510188;1186097176;818990;Hombre;11;16.4;0;87.4;2.538152642
37;RETIRADO;6850367;1134170629;1542276;Hombre;29;16.7;121.8747041;47.6;8.139601945
38;RETIRADO;7178324;1115147796;414357;Mujer;14;15.9;252.3865219;82.1;7.993143926
39;VINCULADO;1523990;234374103.9;1426341;Mujer;19;15.6;13.76380006;13;2.648025951
40;RETIRADO;992085;207827474.3;1479609;Hombre;20;15.7;178.0742688;5.2;8.863133259
41;VINCULADO;7659689;1231796669;392474;Mujer;0;3.7;0;61.6;2.419365199
42;RETIRADO;3876596;612237331.5;901927;Mujer;7;3.3;215.6085854;0;8.64241871
43;RETIRADO;7832980;1232216975;353363;Hombre;14;16;251.8287873;72.9;8.700907258
44;RETIRADO;7047010;1088036458;383579;Mujer;22;14.7;236.7072728;75.1;8.659403116
45;RETIRADO;8763522;1345947538;902864;Mujer;15;15;21.27787775;56.6;3.330573767
46;RETIRADO;4036032;677295288.7;2750512;Mujer;27;2.5;224.352073;25.6;9.117037212
47;RETIRADO;796967;162110048.1;311671;Mujer;18;15.2;164.5012273;15.1;8.579126782
48;RETIRADO;7835561;1301189586;2092882;Mujer;48;16.6;230.9099844;83.9;7.873395632
49;VINCULADO;437843;72755086.67;1952485;Mujer;26;17;0;20.2;2.59332101
50;VINCULADO;7052549;1121249508;409953;Hombre;17;3.7;11.19636349;55.4;2.528682546
51;RETIRADO;951739;131500966.8;379677;Hombre;27;15.4;194.8731846;11.1;7.522266246
52;VINCULADO;4028362;717123131.9;2206525;Hombre;19;0.7;12.22607899;0;2.32152276
53;VINCULADO;3644111;622401349.3;1869360;Mujer;16;2.1;37.08430016;35.2;2.134351944
54;RETIRADO;7519976;1186638481;1386760;Mujer;10;15.8;201.5229563;96;8.713332005
55;VINCULADO;7390665;1161147107;1156367;Hombre;0;15.9;36.60118149;71.5;2.322411008
56;VINCULADO;7976212;1243446125;518050;Hombre;39;15.2;65.11681214;70.8;2.901845661
57;VINCULADO;4016180;719053334;1882390;Hombre;55;4.4;0;22.6;2.510371033
58;RETIRADO;1680459;273329473.2;824000;Hombre;10;15.7;191.2478205;16.9;8.309565216
59;VINCULADO;150000;7989425.517;1055653;Mujer;23;15.7;0;0;2.018367396
60;RETIRADO;1461310;310518973.7;1963727;Hombre;32;16.2;189.7131534;14.7;7.913308733
61;VINCULADO;7176247;1116767631;1552211;Hombre;43;14.4;0;75;2.910372409
62;RETIRADO;1652544;362375359.7;2512590;Mujer;24;16.5;187.3238217;25.5;8.005056059
63;RETIRADO;690476;97779666.16;1117840;Hombre;0;16.1;236.9310389;9.1;7.884082264
64;VINCULADO;3406580;511634390;417804;Mujer;0;2.5;18.10732574;10.1;1.863869818
65;RETIRADO;1784121;309293324;431534;Mujer;0;17.6;211.8952429;5;8.380463938
66;VINCULADO;403041;74322706.9;1672362;Mujer;31;15.4;0;12.4;2.498620347
67;RETIRADO;4642149;723803296.5;982323;Mujer;35;1.8;181.1039431;15.7;7.919478551
68;VINCULADO;7967191;1267271528;883531;Mujer;19;16.4;27.6585682;85.9;2.875403006
69;RETIRADO;3878969;628558513.4;2434232;Hombre;12;1.7;233.5590672;13.2;8.578061181
70;RETIRADO;7320406;1135539954;1974112;Hombre;14;1.9;126.6882397;57.8;8.243673437
71;RETIRADO;7025956;1159140089;1025119;Mujer;25;15.6;274.6934195;61.2;8.18707589
72;RETIRADO;150000;36406688.52;1197581;Mujer;0;15.4;170.2112684;5.4;8.710229526
73;RETIRADO;678834;126925557.2;1090625;Mujer;35;17;175.2268276;11.4;8.566174224
74;VINCULADO;1590316;291691019.6;1907575;Hombre;26;15.2;2.55849464;14.6;3.486038855
75;VINCULADO;888102;156551918.3;416792;Mujer;45;16;27.53261766;12.4;2.367906931
76;RETIRADO;7081350;1107677278;449524;Mujer;5;16.4;169.0634772;77.4;7.89528283
77;RETIRADO;1456975;304001373.9;1391755;Hombre;37;17.6;223.4038073;14.4;8.836224139
78;RETIRADO;7581811;1240348055;1199532;Mujer;11;1.5;246.8712548;55.8;8.293585022
79;VINCULADO;7537016;1158182315;530164;Mujer;43;13.1;0;58.4;2.204092883
80;RETIRADO;3457415;525424683.5;814502;Hombre;6;2.5;187.0690154;8.6;8.014070965
81;RETIRADO;1255257;182172597.8;502674;Mujer;53;15.9;161.065828;16.2;8.546911969
82;RETIRADO;7011576;1079214945;657382;Mujer;33;14;238.6988282;74.7;7.93454064
83;VINCULADO;7319634;1178724923;1259835;Hombre;12;2;0;72.7;1.208224373
